datetime,barra_prog,nombre_barra,cmg_programado,zona,region
2026-02-17 05:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,64.8594058098089,Sur,Los Lagos
2026-02-17 05:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,64.4891261974178,Centro,Metropolitana
2026-02-17 05:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,63.65675052752,Centro,Valparaíso
2026-02-17 06:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,62.4803690766986,Centro,Metropolitana
2026-02-17 06:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,70.3573637820665,Norte,Atacama
2026-02-17 06:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,63.1141602439279,Centro Sur,Biobío
2026-02-17 06:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,73.3259995664586,Norte,Antofagasta
2026-02-17 06:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,65.7754381553274,Norte,Coquimbo
2026-02-17 06:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,68.4809773662481,Sur,Los Lagos
2026-02-17 06:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,62.3788810871158,Centro,Metropolitana
2026-02-17 06:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,61.6199086720028,Centro,Valparaíso
2026-02-17 07:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,62.5810766815149,Centro,Metropolitana
2026-02-17 07:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,69.4030844155768,Norte,Atacama
2026-02-17 07:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,61.9857608261726,Centro Sur,Biobío
2026-02-17 07:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,72.2680883485462,Norte,Antofagasta
2026-02-17 07:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,62.1749558593543,Norte,Coquimbo
2026-02-17 07:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,67.6397368466053,Sur,Los Lagos
2026-02-17 07:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,64.5155437488868,Centro,Metropolitana
2026-02-17 07:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,65.6313181904877,Centro,Valparaíso
2026-02-17 08:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,62.5401546970286,Centro,Metropolitana
2026-02-17 08:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,50.4590480114815,Norte,Atacama
2026-02-17 08:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,61.6818695300753,Centro Sur,Biobío
2026-02-17 08:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,52.3429814539953,Norte,Antofagasta
2026-02-17 08:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,60.7993417863664,Norte,Coquimbo
2026-02-17 08:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,211.479325122741,Sur,Los Lagos
2026-02-17 08:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,51.4844865968905,Centro,Metropolitana
2026-02-17 08:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,56.9431241660081,Centro,Valparaíso
2026-02-17 09:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,37.6014101896699,Centro,Metropolitana
2026-02-17 09:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,35.755926145904,Norte,Atacama
2026-02-17 09:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,32.7996674647546,Centro Sur,Biobío
2026-02-17 09:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,29.3590729490282,Norte,Antofagasta
2026-02-17 09:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,35.0405914989906,Norte,Coquimbo
2026-02-17 09:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,43.8140524228745,Sur,Los Lagos
2026-02-17 09:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,37.6016002403356,Centro,Metropolitana
2026-02-17 09:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,40.4562094751454,Centro,Valparaíso
2026-02-17 10:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,0.128195308969365,Centro,Metropolitana
2026-02-17 10:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,0.0,Norte,Atacama
2026-02-17 10:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,0.128344898576106,Centro Sur,Biobío
2026-02-17 10:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,0.0363868235518231,Norte,Antofagasta
2026-02-17 10:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,0.116889811717483,Norte,Coquimbo
2026-02-17 10:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,100.235293169209,Sur,Los Lagos
2026-02-17 10:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,0.127931289151743,Centro,Metropolitana
2026-02-17 10:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,0.129739468118917,Centro,Valparaíso
2026-02-17 11:00:00,AJahuel220,BA S/E ALTO JAHUEL 220KV BP1,0.0,Centro,Metropolitana
2026-02-17 11:00:00,Cardones220,BA S/E CARDONES 220KV BP1-1,0.0,Norte,Atacama
2026-02-17 11:00:00,Charrua220,BA S/E CHARRUA 220KV BP1-1,0.0,Centro Sur,Biobío
2026-02-17 11:00:00,Crucero220,BA S/E CRUCERO 220KV BP1,0.0,Norte,Antofagasta
2026-02-17 11:00:00,PAzucar220,BA S/E PAN DE AZUCAR 220KV BP1,0.0,Norte,Coquimbo
2026-02-17 11:00:00,PMontt220,BA S/E PUERTO MONTT 220KV BP1,97.0455420182311,Sur,Los Lagos
2026-02-17 11:00:00,Polpaico220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,0.0,Centro,Metropolitana
2026-02-17 11:00:00,Quillota220,BA S/E QUILLOTA 220KV BP1-1,0.0,Centro,Valparaíso
